Emp ID,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,salary,dept,Existing or Left
3596,0.32,0.97,6,272,2,0,0,low,sales,0
3781,0.86,0.96,5,238,5,0,0,low,technical,0
4520,0.44,0.45,2,124,3,0,0,low,sales,0
4770,0.13,0.95,5,149,2,0,0,low,technical,0
5848,0.77,0.85,5,221,5,0,0,low,technical,0
6264,0.9,0.87,4,231,5,0,0,low,management,0
6467,0.39,0.57,2,132,3,0,0,low,support,0
7444,0.85,0.96,4,240,6,0,0,medium,technical,0
10266,0.44,0.52,3,269,4,0,0,low,technical,0
2001,0.58,0.74,4,215,3,0,0,low,sales,1
2002,0.82,0.67,2,202,3,0,0,low,sales,1
2003,0.45,0.69,5,193,3,0,0,low,sales,1
2004,0.78,0.82,5,247,3,0,0,low,sales,1
2005,0.49,0.6,3,214,2,0,0,low,sales,1
2006,0.36,0.95,3,206,4,0,0,low,sales,1
2007,0.54,0.37,2,176,2,0,0,low,sales,1
2008,0.99,0.91,5,136,4,0,0,low,sales,1
2009,0.5,0.75,6,127,3,0,0,low,sales,1
2010,0.74,0.64,4,268,3,0,0,low,sales,1
2011,0.56,0.58,4,258,3,0,0,medium,sales,1
2012,0.34,0.39,2,136,3,0,0,medium,sales,1
2013,0.48,0.94,5,255,6,0,0,medium,accounting,1
2014,0.73,0.62,3,218,3,0,0,medium,accounting,1
2015,0.59,0.87,3,268,4,0,0,medium,accounting,1
2016,0.81,0.57,3,224,2,0,0,medium,hr,1
2017,0.9,0.66,3,231,3,0,0,medium,hr,1
2018,0.41,0.84,6,191,6,0,0,medium,hr,1
2019,0.89,0.92,4,165,5,0,0,medium,hr,1
2020,0.48,0.84,4,252,3,0,0,medium,technical,1
2021,0.79,0.97,5,266,2,0,0,medium,technical,1
2022,0.98,0.66,5,248,3,0,0,medium,technical,1
2023,0.75,0.7,4,144,4,0,0,high,technical,1
2024,1,0.41,4,174,3,0,0,low,technical,1
2025,0.24,0.82,5,179,6,0,0,medium,technical,1
2026,0.84,0.43,6,246,4,0,0,medium,technical,1
2027,0.56,0.86,4,201,3,1,0,medium,technical,1
2028,0.92,0.93,4,208,3,0,0,medium,technical,1
2029,0.61,0.98,3,267,3,0,0,low,technical,1
2030,0.84,0.77,4,262,4,0,0,low,technical,1
2031,0.85,0.59,3,235,3,0,0,low,support,1
2032,0.67,0.57,2,160,4,0,0,low,support,1
2033,0.54,0.94,4,267,4,0,0,low,support,1
2034,0.75,0.56,5,175,4,0,0,low,support,1
2035,0.82,0.79,4,224,2,0,0,low,support,1
2036,0.76,0.6,4,177,2,0,0,low,support,1
2037,0.19,0.53,6,191,4,0,0,low,support,1
2038,0.61,0.41,3,138,3,0,0,low,support,1
2039,0.51,0.8,3,218,2,1,0,low,support,1
2040,0.52,0.88,3,179,2,1,0,low,support,1
2041,0.74,0.58,3,241,3,0,0,low,support,1
2042,0.98,0.91,4,240,3,0,0,low,technical,1
2043,0.71,0.92,3,202,4,0,0,low,technical,1
2044,0.33,0.88,6,260,3,0,0,low,technical,1
2045,0.98,0.97,3,196,3,0,0,low,management,1
2046,0.52,0.59,2,176,3,1,0,low,IT,1
2047,0.84,0.65,2,140,3,0,0,low,IT,1
2048,0.87,0.5,3,242,2,0,0,low,IT,1
2049,0.48,0.85,3,279,4,0,0,low,IT,1
2050,0.58,0.55,4,202,3,0,0,medium,IT,1
2051,0.58,0.84,5,228,3,0,0,medium,product_mng,1
